,Name of City,Lat,Long,Temperature,Humidity,Clouds,Winds
0,New Norfolk,-42.78,147.06,13.81,58,75,4.6
1,Ushuaia,-54.81,-68.31,-1.0,92,90,11.3
2,Rikitea,-23.12,-134.97,22.95,88,100,5.64
3,Andrychow,49.85,19.34,18.7,93,0,2.1
4,Punta Arenas,-53.16,-70.91,1.84,80,75,9.8
5,Mariental,-25.72,-49.65,15.71,93,90,3.1
6,Norman Wells,65.28,-126.83,8.0,75,20,2.1
7,Mataura,-46.19,168.86,11.67,79,45,8.05
8,Cape Town,-33.93,18.42,11.8,93,75,5.1
9,Kahului,20.89,-156.47,26.33,74,40,8.7
10,Hobart,-42.88,147.33,13.81,58,75,4.6
11,Laguna,16.17,-88.94,26.0,94,0,1.21
12,Palmer,-34.85,139.16,15.47,63,20,4.6
13,Atuona,-9.8,-139.03,26.35,70,6,6.13
14,Hithadhoo,-0.6,73.08,28.25,77,12,5.27
15,Urucara,-2.54,-57.76,24.05,81,19,0.72
16,Norman Wells,65.28,-126.83,8.0,75,20,2.1
17,Bredasdorp,-34.53,20.04,13.11,71,3,3.1
18,Port Alfred,-33.59,26.89,16.11,62,0,4.92
19,Busselton,-33.64,115.35,14.02,66,99,15.86
20,Cape Town,-33.93,18.42,11.8,93,75,5.1
21,Tezu,27.93,96.16,34.35,43,64,1.31
22,Meulaboh,4.14,96.13,27.55,73,83,2.8
23,Muli,28.08,109.56,24.75,56,77,3.58
24,Dinguiraye,11.29,-10.71,19.55,98,100,0.65
25,Codrington,-28.95,153.24,21.75,46,40,1.0
26,Alofi,-19.06,-169.92,23.0,60,78,6.2
27,Yellowknife,62.45,-114.38,6.84,93,90,1.5
28,Ossora,59.24,163.07,12.05,56,85,2.58
29,Nome,30.04,-94.42,25.19,94,1,0.85
30,Yichun,47.72,128.88,18.45,88,99,3.16
31,Mataura,-46.19,168.86,11.67,79,45,8.05
32,Chuy,-33.69,-53.46,9.25,77,43,1.87
33,Maceio,-9.67,-35.74,20.0,100,20,1.5
34,Ushuaia,-54.81,-68.31,-1.0,92,90,11.3
35,Saint-Philippe,45.36,-73.48,12.15,93,1,3.13
36,Arraial do Cabo,-22.97,-42.02,22.55,72,0,2.8
37,Broome,52.47,1.45,10.21,93,100,2.6
38,San Patricio,-26.98,-56.83,10.65,81,36,3.65
39,Ribeira Grande,38.52,-28.7,22.95,87,0,1.79
40,Labuhan,-2.54,115.51,35.85,35,43,0.87
41,Saint-Philippe,45.36,-73.48,12.15,93,1,3.13
42,Nipawin,53.36,-104.02,9.0,87,1,2.1
43,Faanui,-16.48,-151.75,23.85,79,100,8.25
44,Rocha,-34.48,-54.34,5.95,71,0,1.73
45,Khatanga,71.98,102.47,9.75,74,99,3.44
46,Hobart,-42.88,147.33,13.81,58,75,4.6
47,Rikitea,-23.12,-134.97,22.95,88,100,5.64
48,Touros,-5.2,-35.46,22.0,100,75,2.1
49,Half Moon Bay,37.46,-122.43,19.27,88,1,1.5
50,Muisne,0.61,-80.02,21.85,87,85,6.03
51,Vaini,15.34,74.49,22.51,94,75,4.1
52,Ponta Delgada,37.73,-25.67,21.82,88,40,1.5
53,Ilulissat,69.22,-51.1,5.0,44,11,7.2
54,Ribeira Grande,38.52,-28.7,22.95,87,0,1.79
55,Hithadhoo,-0.6,73.08,28.25,77,12,5.27
56,Cap Malheureux,-19.98,57.61,23.8,73,75,6.7
57,Pisco,-13.71,-76.2,18.01,30,0,1.0
58,Faanui,-16.48,-151.75,23.85,79,100,8.25
59,Novi Ligure,44.76,8.79,21.64,65,0,3.6
60,Lukovetskiy,64.29,41.92,13.0,100,90,0.45
61,Port Alfred,-33.59,26.89,16.11,62,0,4.92
62,Bluff,-23.58,149.07,26.05,24,0,5.2
63,Tawang,27.59,91.87,21.95,71,44,3.08
64,Kapaa,22.08,-159.32,27.13,78,20,5.1
65,New Norfolk,-42.78,147.06,13.81,58,75,4.6
66,Hingoli,19.72,77.14,25.0,94,40,3.6
67,Mataura,-46.19,168.86,11.67,79,45,8.05
68,Srednekolymsk,67.46,153.71,9.15,41,0,0.29
69,Yellowknife,62.45,-114.38,6.84,93,90,1.5
70,Atuona,-9.8,-139.03,26.35,70,6,6.13
71,Port Alfred,-33.59,26.89,16.11,62,0,4.92
72,Upernavik,72.79,-56.15,6.35,56,60,6.57
73,Boa Vista,2.82,-60.67,27.0,83,0,1.5
74,Klaksvik,62.23,-6.59,8.0,81,100,11.3
75,Yulara,-25.24,130.99,30.0,7,0,2.6
76,Marovoay,-16.11,46.64,22.0,64,0,1.5
